Date,Account Number,Company Name,Clear Ownership Structure,Industry,Domiciled,Transaction Type,Transaction Origin,Transaction Currency,Transaction Amount,6-Month Transaction Volume Average
2024-01-13,465913,Dynamic Corporation,Yes,Technology,Barbados,incoming,Cayman Islands,USD,213916.16,183952.22
2024-01-29,586242,Innovative Products,Yes,Technology,Jamaica,outgoing,Italy,USD,335572.94,399961.15
2024-01-26,920956,Global Products,No,Construction,St. Lucia,outgoing,Mexico,GBP,878045.13,1195121.91
2024-01-18,462895,NextGen Services,Yes,Construction,Cayman Islands,incoming,Germany,CAD,21815.58,22985.82
2024-01-10,679768,Eco Products,Yes,Manufacturing,Barbados,outgoing,Spain,USD,527294.78,557907.91
2024-01-26,618216,Future Solutions,Yes,Finance,Barbados,incoming,Bahamas,USD,979024.88,633424.26
2024-01-02,507375,Eco Industries,Yes,Microfinance,Bahamas,incoming,Spain,GBP,413470.89,502762.69
2024-01-28,715663,Dynamic Products,Yes,Used Car Sales,Barbados,incoming,Mexico,EUR,720326.42,650201.32
2024-01-28,936744,Innovative Industries,Yes,Technology,St. Lucia,outgoing,Canada,GBP,948187.01,1106461.12
2024-01-21,749093,Eco Services,Yes,Construction,Barbados,outgoing,Germany,USD,653346.29,619455.08
2024-01-31,296573,Innovative Services,Yes,Technology,Jamaica,incoming,Cayman Islands,CAD,540877.2,220729.2
2024-01-02,337698,Future Technologies,No,Manufacturing,Jamaica,incoming,Mexico,EUR,453665.14,679827.39
2024-01-21,118141,Innovative Technologies,No,Microfinance,Cayman Islands,outgoing,Italy,EUR,403661.84,59385.45
2024-01-12,655781,NextGen Corporation,No,Manufacturing,St. Lucia,incoming,Cayman Islands,USD,389990.31,362136.13
2024-01-09,762005,Global Corporation,No,Construction,Cayman Islands,outgoing,St. Lucia,EUR,6016.88,5379.31
2024-01-19,147929,Global Industries,Yes,Technology,Cayman Islands,incoming,United Kingdom,EUR,306394.54,202480.95
2024-01-29,118029,Tech Corporation,No,Microfinance,Barbados,incoming,United Kingdom,EUR,911687.76,367494.31
2024-01-04,888810,Future Products,No,Construction,Barbados,outgoing,Barbados,CAD,251840.97,65668.75
2024-01-01,637120,Future Technologies,Yes,Manufacturing,St. Lucia,outgoing,Mexico,GBP,622506.65,794707.16
2024-01-31,301869,Dynamic Corporation,No,Finance,Barbados,incoming,Mexico,USD,305722.93,222459.43
2024-01-16,198364,Innovative Corporation,No,Retail,Cayman Islands,outgoing,Barbados,EUR,443704.04,42499.53
2024-01-18,685679,Eco Industries,Yes,Finance,Jamaica,incoming,Mexico,EUR,60441.22,37544.98
2024-01-20,742478,Innovative Services,No,Construction,Jamaica,outgoing,United States,CAD,46012.47,26620.93
2024-01-02,661427,Future Solutions,No,Healthcare,Cayman Islands,incoming,Mexico,EUR,360145.66,447102.63
2024-01-28,300166,Future Industries,No,Manufacturing,Cayman Islands,outgoing,Italy,EUR,590654.34,61795.58
2024-01-30,369466,Future Technologies,No,Healthcare,Cayman Islands,outgoing,Mexico,CAD,673089.55,437324.17
2024-01-16,520349,Global Services,Yes,Retail,Jamaica,incoming,Germany,USD,824699.34,965173.99
2024-01-11,938635,Innovative Products,No,Used Car Sales,Bahamas,outgoing,France,CAD,914498.82,837915.34
2024-01-22,273392,NextGen Corporation,Yes,Finance,Jamaica,outgoing,Mexico,EUR,602212.96,767827.19
2024-01-06,619396,Global Industries,No,Technology,St. Lucia,outgoing,France,EUR,900891.9,819197.02
2024-01-31,333284,Global Industries,No,Healthcare,Jamaica,outgoing,Spain,CAD,461099.71,232393.71
2024-01-02,296176,Tech Solutions,No,Microfinance,Cayman Islands,incoming,St. Lucia,USD,185156.36,267911.07
2024-01-17,791999,Innovative Products,Yes,Used Car Sales,Cayman Islands,outgoing,Jamaica,CAD,205.92,177.2
2024-01-24,692987,Innovative Technologies,No,Finance,Bahamas,incoming,St. Lucia,USD,627757.79,653726.66
2024-01-04,575311,Dynamic Corporation,No,Healthcare,Jamaica,outgoing,France,CAD,483463.71,686480.58
2024-01-11,803113,Global Technologies,Yes,Microfinance,Jamaica,incoming,Italy,EUR,327117.22,255323.95
2024-01-27,823961,Future Technologies,No,Finance,St. Lucia,incoming,Jamaica,EUR,823324.82,576438.83
2024-01-02,320107,Dynamic Products,Yes,Construction,St. Lucia,incoming,Cayman Islands,CAD,916534.94,602751.51
2024-01-12,628156,NextGen Industries,Yes,Retail,Jamaica,outgoing,Cayman Islands,GBP,656609.0,92404.33
2024-01-06,937316,Dynamic Technologies,No,Healthcare,St. Lucia,outgoing,Italy,USD,932724.24,554719.35
2024-01-16,844571,NextGen Industries,Yes,Used Car Sales,Jamaica,outgoing,Cayman Islands,EUR,206673.43,275314.48
2024-01-28,177142,Dynamic Technologies,Yes,Retail,Bahamas,incoming,Mexico,EUR,855269.85,1107548.27
2024-01-20,804557,Tech Solutions,Yes,Manufacturing,Bahamas,incoming,Canada,CAD,583382.81,870845.75
2024-01-07,442397,Eco Products,Yes,Used Car Sales,Bahamas,outgoing,Cayman Islands,CAD,22763.14,22808.21
2024-01-16,216789,Eco Corporation,No,Finance,Barbados,incoming,United Kingdom,USD,511371.38,552532.32
2024-01-17,520190,Eco Industries,No,Construction,Cayman Islands,outgoing,United States,USD,541464.91,98149.47
2024-01-27,239160,Tech Technologies,No,Construction,Bahamas,outgoing,Barbados,EUR,691623.95,329250.52
2024-01-22,247975,Dynamic Solutions,No,Construction,Cayman Islands,incoming,Jamaica,EUR,167052.11,159256.33
2024-01-12,707586,Tech Industries,No,Used Car Sales,Jamaica,outgoing,United Kingdom,EUR,229707.73,37457.63
2024-01-31,663397,Future Industries,No,Technology,Jamaica,outgoing,Spain,USD,568024.08,7937.16
